"WINTER.YEAR","Yield","COUNTY.WEIGHTED.AVE.MAX","COUNTY.WEIGHTED.AVE.MIN","COUNTY.WEIGHTED.N.DEFROST","COUNTY.WEIGHTED.N.FREEZE.THAW","COUNTY.WEIGHTED.N.FREEZE.VERY.THAW","COUNTY.WEIGHTED.N.FREEZING","COUNTY.WEIGHTED.N.STAYS.FREEZING","COUNTY.WEIGHTED.N.STAYS.VERY.FREEZING","COUNTY.WEIGHTED.N.VERY.FREEZING"
2018,130,45.5451038590907,27.0760524130704,2.12730479515142,84.4787065250314,47.7398696874979,142.715348067678,58.4027121338368,22.4953273370846,90.2847540444091
2017,135,47.3609506844054,30.2849207408385,1.54386530587745,72.1595367974936,38.3074716840192,114.210545004868,41.7990622706646,14.9750243953596,62.3945427068856
2016,138,47.7737727268643,29.1561691183677,2.03567483555699,94.4422757380531,58.8361772546245,126.887903926325,31.8858711138474,10.904783468329,66.7811427492484
2015,127,NA,NA,0.991095320023651,34.3545531756744,19.215408208018,78.9488676022495,56.2740180163439,24.4552704210951,54.3256628143885
2014,127,45.7938328059685,27.9475214064748,0.710424379214855,58.5510209713849,35.5964061144902,120.192322826904,59.8629839773716,29.6328033240704,80.7767284713108
2013,132,46.1247668382762,29.0158413539332,1.65720903287204,81.7239634300738,43.4956021657882,131.312973087715,49.196231604013,20.5832469941904,81.4986358607072
2012,78,52.0624094404433,33.7187439362706,1.75417158924355,86.4547483615495,50.196272770823,120.36724635208,32.3316568399115,9.95702070046592,62.9615695179781
2011,131,46.1781699506193,28.8551033530197,1.05985598834648,76.9658407295951,45.6031116984376,145.266079951701,68.3002392221055,26.481083655955,94.8051447835564
2010,112,40.5997529107268,26.493471586418,0.36208379972616,69.723463651954,43.3208948455586,115.892063942156,46.1686002902025,19.4712174529212,58.4102290737174
2009,124,39.534137089639,24.4037736748504,0.748347769499373,67.3739952399424,41.8688989170306,123.356965226823,55.889845731877,26.5450657715649,80.7942933897867
2008,92,39.5702966079717,24.2130930214153,1.1440204382506,70.7538061616943,35.9225611681675,120.750082021644,49.9962758599497,19.0723624478542,77.1625150373759
2007,79,38.5475111307095,24.1364024819012,1.22634558575104,67.4223366223986,43.1265142261456,115.440148903116,47.6505447604527,23.5471373726173,68.1035503278958
2006,83,40.5451354353785,26.4240355697317,1.62235980734132,62.4364113923584,35.6811697163027,106.718356325272,43.820396354905,16.6751471503119,61.1762396883364
2005,58,38.3621715486356,23.5640650980878,1.68388020997279,68.6121619652621,41.5362735580899,111.642764280947,42.8548284410243,20.7524588922343,69.2766801123966
2004,86,35.8768488993929,21.3097786825968,0.646097632124455,62.1563571988806,34.8034251079288,112.302294016139,49.5430299011998,24.2071351728884,72.1422790689927
2003,70,31.4721567213472,19.0513227974207,1.5314008402926,53.6617952664761,27.6181882068674,102.553413536669,48.8750193764868,21.2152080167949,67.9643368023035
2002,82,39.4930494585531,25.0172932947252,2.03378450703258,77.8157165009688,41.9811321364419,107.206781056279,29.0501027793856,6.41494112148891,54.7757737132784
2001,15,37.2558265798101,22.4841690936402,0.639671507802405,69.6007617516923,36.6129261987303,119.484919472406,50.2304866975603,17.646777793342,78.7053355265729
